case_no,player,team,games,minutes,x2P,x3P,TRB,AST,STL,BLK
1,Anthony Davis,NOP,75,2727,0.265859919,0.020168684,0.305097176,0.063806381,0.042170884,0.070773744
2,LeBron James,CLE,82,3026,0.233972241,0.049239921,0.23430271,0.246860542,0.038334435,0.023463318
3,Kyrie Irving,BOS,60,1931,0.190574832,0.085965821,0.117555671,0.158467115,0.033661315,0.008803729
4,LaMarcus Aldridge,SAS,75,2509,0.263053009,0.010761259,0.25308888,0.060581905,0.017138302,0.035870865
5,Kevin Durant,GSW,68,2325,0.19655914,0.074408602,0.199569892,0.157419355,0.021505376,0.051182796
6,Giannis Antetokounmpo,MIL,75,2756,0.253628447,0.015602322,0.273222061,0.130986938,0.039550073,0.038461538
7,Montrezl Harrell,LAC,76,1293,0.268368136,0.000773395,0.236658933,0.057231245,0.027842227,0.040216551
8,Joel Embiid,PHI,63,1912,0.232217573,0.034518828,0.360878661,0.104079498,0.020920502,0.058054393
9,Stephen Curry,GSW,51,1631,0.13243409,0.129981606,0.160024525,0.190067443,0.049049663,0.004904966
10,Russell Westbrook,OKC,80,2914,0.226492793,0.033287577,0.275909403,0.281400137,0.050446122,0.006863418
11,James Harden,HOU,72,2551,0.151313211,0.103880831,0.15248922,0.246961976,0.049392395,0.019600157
12,Kristaps Porzingis,NYK,48,1553,0.193174501,0.05795235,0.203477141,0.036703155,0.02318094,0.074050225
13,Victor Oladipo,IND,75,2552,0.187695925,0.063087774,0.152821317,0.126567398,0.069357367,0.022335423
14,Kawhi Leonard,SAS,9,210,0.195238095,0.052380952,0.2,0.1,0.085714286,0.042857143
15,Michael Beasley,NYK,74,1653,0.226860254,0.020568663,0.250453721,0.074410163,0.021778584,0.026013309
16,T.J. Warren,PHO,65,2142,0.237628385,0.009337068,0.155462185,0.03968254,0.030345472,0.01914099
17,Trey Burke,NYK,36,785,0.197452229,0.048407643,0.09044586,0.21656051,0.030573248,0.005095541
18,Devin Booker,PHO,54,1865,0.165147453,0.078820375,0.130831099,0.135656836,0.025201072,0.007506702
19,Dennis Schroder,ATL,67,2078,0.204042348,0.036573628,0.100096246,0.200673725,0.034648701,0.002887392
